fir_id,crime_type,severity,status,date,time,area,city,state,lat,lng,crime_description,victim_name,victim_gender,victim_age,victim_contact,victim_email,victim_address
FIR100170,Fraud,Medium,Active,2025-11-16,05:44:42,Borivali East Ext,Mumbai,Maharashtra,19.23216610804888,72.85573600472974,Repellat sequi consectetur doloremque reiciendis alias laborum maxime nesciunt sapiente reprehenderit quasi.,Amol Varma,Other,26,+919240514770,hayreriya@example.com,"39/313, D’Alia Street, Ratlam 305570"
FIR100171,Domestic Violence,Medium,Resolved,2025-02-14,10:10:33,Bandra East Ext,Mumbai,Maharashtra,19.070372645599466,72.85519425938864,Temporibus expedita quia quas est vero ut voluptate nulla soluta beatae porro.,Maanas Manne,Female,57,03833884879,abdulmukherjee@example.com,"21/44, Venkatesh Road, Kharagpur-273677"
FIR100172,Murder,High,Resolved,2025-12-27,11:45:28,Navi Mumbai Ext Ext,Mumbai,Maharashtra,19.018383384549793,73.0281193899122,Facere veniam tempora hic reiciendis cupiditate maiores officiis voluptatem illum accusantium quos.,Aarav Pandit,Male,49,2069804204,pillayzehaan@example.net,"025, Ganesh Circle, Tumkur 183281"
FIR100173,Murder,Medium,Active,2025-03-10,03:57:44,Dadar Ext,Mumbai,Maharashtra,19.004538422582797,72.85668866803891,Quia consequatur sequi perferendis sit omnis tempora quaerat dolores.,Omaja Grover,Male,37,+919407016451,mahajanbahadurjit@example.net,"H.No. 239, Amble Street, Tiruchirappalli-601836"
FIR100174,Kidnapping,Medium,Pending,2025-03-27,12:57:21,Mulund West Ext,Mumbai,Maharashtra,19.159091705194605,72.95409462920408,Ab quod itaque vel est enim amet non optio.,Jalsa Bir,Female,45,+914636815798,varenya60@example.net,"387, Bajwa Path, Chittoor 817225"
FIR100175,Theft,Critical,Pending,2025-09-27,12:54:53,Jogeshwari West Ext Ext,Mumbai,Maharashtra,19.146506918982432,72.83577869149885,Repellat pariatur in ipsum soluta esse placeat possimus in totam magnam quia nihil autem.,Madhavi Singhal,Female,50,+912387800384,anusha09@example.org,"H.No. 45, Lata Circle, Bhavnagar-290529"
FIR100176,Vandalism,Low,Pending,2025-03-30,11:34:36,Sion Ext,Mumbai,Maharashtra,19.031323558450495,72.86880930302522,Totam quisquam in atque amet dolor corrupti rerum.,Lila Prakash,Other,21,07620555438,fsha@example.org,"83, Ramanathan Zila, Jamalpur 717217"
FIR100177,Kidnapping,High,Pending,2025-11-30,07:06:32,Dadar Ext Ext Ext,Mumbai,Maharashtra,19.019846788734977,72.83333494421211,Magnam atque nisi alias reiciendis tempore omnis harum doloribus minima illum magni provident quasi at.,Amol Parikh,Other,63,00460843256,cchawla@example.com,"39, Grewal, Anantapur-229993"
FIR100178,Kidnapping,High,Resolved,2025-10-18,23:19:11,Colaba Ext,Mumbai,Maharashtra,18.90430776134511,72.8167468657779,Ut ut aliquid expedita alias nihil ex id nam quis fugit debitis.,Hemani Khosla,Other,74,2168936392,duapeter@example.org,"H.No. 659, Mitter Zila, Begusarai-325539"
FIR100179,Cybercrime,Critical,Resolved,2025-07-09,08:32:14,Ghatkopar East Ext,Mumbai,Maharashtra,19.09104999667675,72.92346477357115,Accusamus veniam quaerat culpa a odit mollitia.,Gaurangi Deol,Female,51,04957823298,sainijagdish@example.org,"44/61, Sheth Chowk, Muzaffarnagar-643095"
FIR100180,Fraud,Critical,Resolved,2025-09-15,22:32:35,Jogeshwari East Ext Ext Ext Ext Ext,Mumbai,Maharashtra,19.112344928159292,72.8402122725996,Ipsum odio itaque explicabo eligendi iure dolore quam quos vero dolore.,Indira Nigam,Other,65,3248262925,ubhatia@example.org,"79/12, Sarna Chowk, Gaya 712053"
FIR100181,Murder,Medium,Resolved,2025-02-20,10:07:23,Malad West,Mumbai,Maharashtra,19.186499310773904,72.84500462614271,Nobis veritatis maxime nisi occaecati necessitatibus aut ducimus voluptate non dignissimos itaque aspernatur.,Ucchal Srinivas,Other,20,+918812520566,rishi90@example.com,"13/752, Venkataraman, Bikaner-012560"
FIR100182,Fraud,High,Resolved,2025-06-25,13:04:10,Ghatkopar East,Mumbai,Maharashtra,19.080729666223945,72.91540491945644,Laboriosam natus velit fugiat maiores in fuga sit excepturi laudantium aut incidunt explicabo.,Krishna Bhatnagar,Male,43,07423122099,omkaar95@example.net,"H.No. 048, Shroff Chowk, Karnal-585238"
FIR100183,Burglary,Low,Pending,2025-06-24,05:14:10,Mulund West Ext,Mumbai,Maharashtra,19.16061548398592,72.94667998996451,Expedita non facilis illo voluptatum dolorum quibusdam.,Balhaar Memon,Other,25,09993933051,rauomaja@example.net,"H.No. 304, Keer Road, Jodhpur-171523"
FIR100184,Cybercrime,Critical,Pending,2025-09-15,19:01:51,Goregaon West,Mumbai,Maharashtra,19.16436313498778,72.85424219384988,Aliquid numquam ipsa nihil corporis quaerat consequatur minus vero incidunt quis distinctio quo provident.,Caleb Iyengar,Male,23,7289752677,bhattacharyyareyansh@example.net,"929, Bajwa Path, Avadi 748309"
FIR100185,Vandalism,Low,Pending,2025-07-27,20:46:54,Dadar Ext Ext Ext,Mumbai,Maharashtra,19.032664262027545,72.84363885263667,Recusandae accusantium dicta fugiat porro laboriosam nihil cum impedit fuga molestias perferendis accusamus aut.,Diya Mukherjee,Male,33,+912330604633,amarachacko@example.org,"67/13, Tata, Narasaraopet-260221"
FIR100186,Fraud,Low,Pending,2025-08-20,17:31:01,Malad East Ext Ext Ext,Mumbai,Maharashtra,19.187594867534035,72.86275432775206,Optio consequuntur fugiat repellendus excepturi ad animi exercitationem nihil adipisci voluptatibus.,Urvashi Kulkarni,Other,41,+911279757366,rbasu@example.net,"H.No. 767, Bera Street, Medininagar-116612"
FIR100187,Assault,High,Resolved,2025-05-04,02:55:44,Bandra West,Mumbai,Maharashtra,19.057383803405184,72.84265134309875,Pariatur nesciunt mollitia dignissimos sed illo itaque.,Rayaan Mangal,Male,65,+919656999880,yashasvirout@example.org,"H.No. 907, Oza Street, Kulti-930493"
FIR100188,Domestic Violence,High,Resolved,2025-08-29,20:11:12,Goregaon East,Mumbai,Maharashtra,19.168824223736685,72.8667043186341,Magni consequatur fugiat hic accusamus reiciendis quo dolorum dolor perferendis adipisci neque enim est nostrum.,Champak Narula,Female,56,1770388608,mukhopadhyayanusha@example.net,"H.No. 38, Gola Nagar, Barasat-242114"
FIR100189,Burglary,Critical,Resolved,2025-12-27,10:06:28,Powai Ext,Mumbai,Maharashtra,19.11571638807351,72.90339541266519,Vel voluptates laudantium voluptate eius ipsa necessitatibus vitae impedit voluptatibus impedit harum maiores libero deserunt aut.,Jeet Pillai,Female,47,08034764472,jacob57@example.net,"82/509, Desai Path, Kavali 620935"
FIR100190,Theft,High,Active,2025-01-31,21:56:35,Bhandup,Mumbai,Maharashtra,19.15516635235841,72.93529806875323,Reiciendis culpa excepturi iste eveniet illo a consectetur alias dolore veritatis aliquam fugit iusto sequi voluptate.,Mugdha Sarraf,Other,62,04908277181,shethgaurang@example.org,"H.No. 039, Pai, Ballia 013712"
FIR100191,Vandalism,High,Pending,2025-10-18,19:24:58,Bandra East Ext Ext,Mumbai,Maharashtra,19.064381196117463,72.85120967219885,Delectus aspernatur fuga natus aliquam ea ullam sed.,Harinakshi Grover,Female,30,+919826657027,gopalgabriel@example.org,"58, Zacharia Path, Munger 230412"
FIR100192,Burglary,High,Pending,2025-11-02,06:53:30,Jogeshwari West,Mumbai,Maharashtra,19.14348866818321,72.8426500565971,Quo magni tenetur excepturi impedit inventore quae reiciendis sed.,Widisha Pillai,Male,22,3714521117,anmol20@example.org,"06, Pathak Zila, Nangloi Jat 874029"
FIR100193,Domestic Violence,Low,Resolved,2025-03-12,05:46:25,Bhandup,Mumbai,Maharashtra,19.15182198746594,72.9375555381488,Neque laborum mollitia quo laborum nostrum nesciunt fugit deserunt assumenda.,Fitan Samra,Female,42,5186892686,triveni13@example.com,"16/690, Kari Marg, Cuttack 815542"
FIR100194,Cybercrime,Critical,Pending,2025-10-18,17:44:45,Bhandup,Mumbai,Maharashtra,19.149711724234376,72.93576885975172,Labore nostrum repudiandae repellat sequi eligendi esse accusamus cum.,Qushi Gole,Other,37,+912592222064,kevinmukherjee@example.org,"40/301, Patil Nagar, Mehsana 564915"
FIR100195,Domestic Violence,Medium,Pending,2026-01-05,12:07:29,Kurla West Ext Ext Ext,Mumbai,Maharashtra,19.074571617894836,72.88256835286441,Possimus corrupti modi saepe deleniti architecto sit doloremque asperiores facilis dolorem.,Ekani Chauhan,Other,71,07421230940,lmangat@example.com,"H.No. 46, Koshy Street, Nangloi Jat-247601"
FIR100196,Kidnapping,Low,Resolved,2025-08-23,13:23:42,Malad East,Mumbai,Maharashtra,19.17845585862644,72.86818555597907,Saepe sit totam adipisci corrupti perspiciatis occaecati repellat.,Falak Merchant,Male,35,07780973397,diyasachdev@example.org,"H.No. 810, Bala Ganj, Begusarai 176417"
FIR100197,Domestic Violence,High,Active,2025-11-14,07:19:16,Malad West,Mumbai,Maharashtra,19.18908405018492,72.85129292848319,Ratione nobis dolorum nemo ab assumenda ea ut ratione sit necessitatibus.,Sanaya Sandhu,Other,64,06719903849,anjaliiyengar@example.org,"08/08, Peri Zila, Aligarh-901507"
FIR100198,Kidnapping,Low,Active,2025-05-10,21:35:13,Kandivali East,Mumbai,Maharashtra,19.204345528870203,72.86677795831682,Rerum repellendus rem nulla quasi sed fugiat omnis nobis.,Sachi Panchal,Female,35,8302205020,aashi74@example.org,"06/71, Bhagat Ganj, Berhampur 104584"
FIR100199,Cybercrime,High,Active,2025-11-21,18:53:04,Jogeshwari East,Mumbai,Maharashtra,19.134168602016988,72.86113788443873,Quas illum mollitia quod enim voluptas dolore aspernatur at quidem maiores.,Brijesh Pandit,Other,19,9945101622,lpant@example.com,"621, Bakshi Ganj, Buxar-258857"
FIR100200,Drug Offense,High,Resolved,2025-10-02,12:19:16,Jogeshwari East Ext,Mumbai,Maharashtra,19.130441792728764,72.85519624036709,Velit voluptatum natus aut ab voluptatem ullam possimus.,Anvi Bhandari,Male,27,4999827950,shivani20@example.net,"47/03, Ahluwalia Zila, Davanagere-962746"
FIR100201,Kidnapping,Low,Pending,2025-06-08,21:39:47,Kurla West,Mumbai,Maharashtra,19.06922594144082,72.88086742542029,Culpa odio ipsam nesciunt a est aliquam facere a quia.,Nidra Patla,Other,72,+914556168147,idugal@example.net,"159, Vohra Zila, Durgapur-000466"
FIR100202,Theft,Critical,Resolved,2025-03-11,16:07:54,Jogeshwari West Ext,Mumbai,Maharashtra,19.144376569983837,72.84429469517501,Rem temporibus iste eos repellendus itaque distinctio.,Azaan Dhar,Female,62,+911458683390,radhapalan@example.net,"H.No. 59, Bir Nagar, Dhanbad-977140"
FIR100203,Domestic Violence,High,Resolved,2025-05-20,07:32:45,Dadar Ext Ext,Mumbai,Maharashtra,19.022159743497735,72.84614688687473,Dicta ea rem quis harum et commodi.,Bakhshi Date,Male,67,+919817946954,sarthak58@example.net,"38/81, Madan, Satna 152049"
FIR100204,Domestic Violence,Critical,Pending,2025-07-14,04:39:49,Lower Parel,Mumbai,Maharashtra,18.994244597472232,72.84201120812533,Itaque optio iusto eaque amet quas ad dolor voluptatibus.,Warinder Peri,Female,64,9952997877,gautam83@example.com,"97/698, Kapur Chowk, Davanagere 971669"
FIR100205,Theft,Medium,Active,2025-03-29,01:18:00,Malad East Ext Ext Ext,Mumbai,Maharashtra,19.183385149969077,72.86337626522757,Eaque nulla neque ullam minima a velit doloribus autem dolorem quibusdam voluptatum enim delectus.,Leela Bali,Male,29,+919343010713,unnilal@example.org,"61, Kalita Street, Baranagar 779433"
FIR100206,Assault,High,Active,2025-07-22,18:29:42,Bandra West Ext,Mumbai,Maharashtra,19.06464820269415,72.84472222663439,Illo error a harum dolore incidunt repellat expedita velit praesentium nam expedita unde id assumenda saepe.,Shivani Prabhakar,Other,64,6605583034,varughesequincy@example.com,"23, Mann Circle, Phagwara-014262"
FIR100207,Murder,Critical,Resolved,2025-01-28,19:49:28,Sion Ext,Mumbai,Maharashtra,19.034260908093316,72.86509220317717,Ad modi illo ex illum atque eum id.,Sachi Bose,Male,30,01448850155,unninaidu@example.com,"08, Zachariah Chowk, Aligarh 602041"
FIR100208,Drug Offense,Critical,Active,2025-11-03,02:47:54,Ghatkopar East Ext,Mumbai,Maharashtra,19.085999994712665,72.9263961194888,Ut accusantium eligendi enim maxime iure error natus quod odio repellendus nihil magni.,Jeevika Rao,Male,67,09902355770,ubandi@example.net,"H.No. 99, Thaman Circle, Siliguri 170889"
FIR100209,Vandalism,Medium,Resolved,2026-01-02,21:04:34,Chembur,Mumbai,Maharashtra,19.047917118888474,72.9005313247255,Architecto accusamus officiis illo autem voluptates ullam iste iusto quidem ipsam veniam quisquam dolore laboriosam.,Arya Krish,Other,64,2727857608,parmerabhiram@example.org,"H.No. 864, Warrior Road, Nanded 758839"
FIR100210,Kidnapping,Critical,Resolved,2025-11-02,08:24:58,Mulund West,Mumbai,Maharashtra,19.170796288948953,72.93943863067936,Tenetur nisi repellat repellendus vel ipsam aut ut asperiores autem provident incidunt amet alias nulla.,Atharv Grewal,Female,74,09588039551,vsoman@example.com,"08, Bhatia Street, Rampur-675712"
FIR100211,Theft,Critical,Pending,2025-05-09,07:28:40,Bhandup Ext Ext Ext,Mumbai,Maharashtra,19.154124941793228,72.9315051305426,Ullam eaque eos velit repellat ex nihil ipsum dolorem.,Zarna Ram,Other,72,+914056829962,groverishita@example.com,"14/96, Chad Zila, Sasaram-942968"
FIR100212,Cybercrime,Medium,Pending,2025-08-09,12:08:55,Ghatkopar West Ext,Mumbai,Maharashtra,19.09592253587587,72.90475525241294,Pariatur maxime optio quas voluptates unde fugiat cum necessitatibus autem.,Adweta Lad,Male,28,1450461735,unnigrewal@example.org,"69/704, Pant Nagar, Kochi-196156"
FIR100213,Kidnapping,High,Pending,2025-11-18,20:09:24,Jogeshwari East Ext Ext,Mumbai,Maharashtra,19.128037184809372,72.85137441081145,Repellendus quas facere tenetur soluta quidem est.,Tanish Mangal,Other,36,04384215031,lshan@example.net,"32/74, Kapur Circle, Burhanpur 179624"
FIR100214,Murder,Critical,Resolved,2025-04-06,08:02:03,Bhandup,Mumbai,Maharashtra,19.149645937281974,72.9407876427935,Nesciunt harum illo expedita quaerat quaerat vero nostrum officia itaque aut iste vero sit quis possimus.,Ryan Das,Male,52,08078235784,erastogi@example.org,"49/668, Lanka Ganj, Indore 784217"
FIR100215,Cybercrime,Critical,Pending,2025-08-12,07:54:56,Jogeshwari East Ext Ext Ext Ext,Mumbai,Maharashtra,19.1220988846181,72.8333613361341,Earum libero quam ut deserunt quia nam expedita minima.,Ethan Seth,Other,56,02182307681,kashvi95@example.com,"51/62, Parekh Street, Vellore 882089"
FIR100216,Burglary,Critical,Active,2026-01-16,12:10:11,Kurla West Ext,Mumbai,Maharashtra,19.071673835304722,72.88227679478076,Voluptas doloribus numquam sint omnis harum iste at praesentium voluptatibus vero earum.,Sai Chahal,Other,70,+914091570184,cmital@example.org,"68/83, Barman, Durgapur-672879"
FIR100217,Domestic Violence,Low,Active,2025-03-09,18:41:35,Ghatkopar East,Mumbai,Maharashtra,19.07854001621196,72.92080546755017,Ratione tempora laboriosam non ipsam alias ab facilis odit labore.,Idika Bhattacharyya,Female,43,+919435334485,samapooja@example.com,"H.No. 911, Borah Road, Gorakhpur 592361"
FIR100218,Burglary,Medium,Resolved,2025-12-31,19:06:44,Kurla West Ext Ext,Mumbai,Maharashtra,19.061073525347645,72.87624064625754,Repudiandae iure commodi sunt commodi consequatur ad possimus nesciunt nostrum.,Charita Dugar,Male,63,01422410988,kbalakrishnan@example.net,"60, Grover Path, Varanasi-588165"
FIR100219,Kidnapping,Low,Resolved,2025-09-26,10:55:08,Bhandup,Mumbai,Maharashtra,19.147405529675783,72.93893645417475,Quibusdam hic id reprehenderit modi nisi accusamus vel optio occaecati eveniet laborum.,Janaki Trivedi,Female,31,+913858542493,charitaviswanathan@example.org,"H.No. 44, Dhillon Chowk, Amravati 650344"
FIR100220,Murder,Medium,Pending,2025-05-22,09:26:12,Goregaon West Ext Ext,Mumbai,Maharashtra,19.16000676887298,72.85060785717613,Nobis dolores optio labore saepe aut molestiae hic veritatis nesciunt.,Jairaj Iyer,Male,71,+911495870207,kalpitnath@example.org,"17, Bhattacharyya Chowk, Rampur 880678"
FIR100221,Drug Offense,High,Resolved,2025-12-19,04:50:57,Thane Ext,Mumbai,Maharashtra,19.220224220014703,72.97428627811867,Facere commodi rerum officiis eveniet numquam cupiditate voluptates ab.,Warjas Tak,Other,62,0160166299,morelohit@example.com,"H.No. 17, Sachdev Road, Kamarhati-926648"
FIR100222,Kidnapping,High,Resolved,2025-10-02,14:08:31,Goregaon West,Mumbai,Maharashtra,19.166354551179104,72.84989598160753,Quos recusandae beatae quo animi repellendus incidunt impedit.,Jalsa Pillay,Male,61,7954538179,krandhawa@example.com,"96/987, Toor Road, Tezpur-155945"
FIR100223,Theft,Critical,Active,2025-08-12,22:17:40,Dadar Ext Ext Ext,Mumbai,Maharashtra,19.02219522793066,72.83041374667985,Itaque natus ratione voluptas quia occaecati aspernatur veniam sequi a perferendis nam consequuntur quisquam minus esse.,Kai Chadha,Female,41,+911717477332,divansai@example.org,"H.No. 929, Bhardwaj Street, Karimnagar 605117"
FIR100224,Fraud,Medium,Active,2025-09-20,17:22:03,Jogeshwari East Ext Ext Ext,Mumbai,Maharashtra,19.12766975082194,72.83557718021876,Rerum numquam quisquam placeat suscipit quae natus illo consectetur perferendis dolor aperiam.,Dayamai Rao,Female,58,4562557701,damyanti12@example.org,"03/988, Johal Marg, Satara 621894"
FIR100225,Kidnapping,High,Pending,2025-04-14,18:35:50,Kurla West,Mumbai,Maharashtra,19.06818996012575,72.87761992135219,Minus laudantium suscipit voluptatem veniam doloribus voluptatibus sequi vel voluptas quam.,Nirja Rout,Female,18,01577245992,rajeshrichana@example.net,"06/70, Bakshi Nagar, Bhavnagar 894204"
FIR100226,Domestic Violence,Medium,Resolved,2025-03-27,08:19:34,Ghatkopar East,Mumbai,Maharashtra,19.074309557909196,72.92188739617855,Non consectetur asperiores voluptatibus molestias soluta accusantium distinctio.,Jeremiah Nadig,Male,68,1615814876,miteshprasad@example.org,"48/966, Roy Chowk, Khammam-420456"
FIR100227,Domestic Violence,High,Resolved,2025-06-21,11:17:59,Goregaon East,Mumbai,Maharashtra,19.16447986759947,72.87292401049058,Minima voluptates reprehenderit commodi fugit odit occaecati quaerat.,Shivani Shukla,Female,60,6393827615,wdutta@example.org,"58, Seshadri Nagar, Imphal 389062"
FIR100228,Kidnapping,Low,Active,2025-11-19,14:47:58,Ghatkopar East,Mumbai,Maharashtra,19.075600249364633,72.91984933349914,Culpa impedit quisquam porro ipsa dolores magni.,Kabir Gopal,Female,72,+919669583219,sramesh@example.org,"H.No. 66, Gour Street, Naihati-016599"
FIR100229,Cybercrime,High,Resolved,2025-03-30,03:29:58,Borivali West,Mumbai,Maharashtra,19.23023352096328,72.84071362801055,Totam non architecto sed ipsa accusamus doloribus dolorem neque architecto nemo dolorem.,Rachita Thakkar,Female,39,01997581724,dpuri@example.net,"H.No. 062, Dani Street, Saharanpur 276774"
FIR100230,Fraud,Low,Active,2025-08-24,00:42:30,Kurla West Ext,Mumbai,Maharashtra,19.06935561178267,72.87872023214338,Voluptate consequuntur tempore corrupti suscipit rem rem tenetur cupiditate.,Jeet Vasa,Other,40,01919657013,gopalram@example.org,"H.No. 91, Bala Marg, Vijayawada-411584"
FIR100231,Theft,High,Pending,2025-11-25,04:23:13,Malad East Ext Ext Ext,Mumbai,Maharashtra,19.187715902458837,72.85480436056052,Dolores nesciunt non numquam eum similique vel est tenetur impedit ducimus error maxime quis dolorum ullam.,Daksha Gala,Other,73,+919022784699,kiaan65@example.com,"H.No. 801, Varty Chowk, Ongole-823129"
FIR100232,Kidnapping,Critical,Active,2026-01-20,06:46:48,Kandivali West Ext Ext,Mumbai,Maharashtra,19.207924146995687,72.84405250886303,Inventore provident molestiae magni sit sunt asperiores quos dolore aliquid ducimus non maxime eum libero assumenda.,Ekantika Kar,Male,71,03354946519,iramesh@example.org,"H.No. 472, Lall Marg, Khandwa 212038"
FIR100233,Cybercrime,Low,Resolved,2025-08-20,05:34:46,Bandra East,Mumbai,Maharashtra,19.065200831830165,72.85290855534984,Et expedita perferendis quos animi odit harum suscipit quod minus ut amet.,Zilmil Mander,Male,36,+919862405800,vrinda90@example.org,"75/365, Raju, Surendranagar Dudhrej 254824"
FIR100234,Domestic Violence,High,Pending,2026-01-18,13:17:00,Sion,Mumbai,Maharashtra,19.036661389602006,72.85931536841703,Neque porro accusamus quas veritatis veritatis iusto blanditiis debitis quam id quam.,Zashil Hegde,Female,35,8514036965,wahabpillay@example.com,"83/854, Loyal Path, Patna-445475"
FIR100235,Domestic Violence,Critical,Active,2025-01-27,21:12:10,Malad East Ext,Mumbai,Maharashtra,19.189124506008884,72.85823395108552,Corporis eum error modi ab numquam exercitationem nulla necessitatibus laudantium.,Jeremiah Mitter,Other,29,6666832723,yachana09@example.net,"H.No. 123, Sem Street, Siwan-917763"
FIR100236,Murder,Low,Active,2025-09-16,06:02:36,Malad East Ext Ext,Mumbai,Maharashtra,19.186325369425944,72.85964895954463,Quam voluptas recusandae deserunt rerum voluptate sequi et expedita natus.,Yadavi Ganguly,Female,72,6562422010,pbrahmbhatt@example.org,"27/203, Yohannan Circle, Gulbarga-750801"
FIR100237,Kidnapping,Critical,Pending,2025-06-01,14:46:31,Goregaon West Ext,Mumbai,Maharashtra,19.166403683157398,72.84632727948801,Ducimus iste placeat asperiores laboriosam dolor hic ullam accusamus.,Onveer Nazareth,Female,45,+917621267969,xalakguha@example.org,"H.No. 453, Raju Nagar, Anantapur-493534"
FIR100238,Fraud,Medium,Pending,2025-08-04,02:12:05,Mulund East Ext Ext,Mumbai,Maharashtra,19.177974145119958,72.96209314569171,Incidunt vero hic officiis sint aut cum veniam eos sed dignissimos adipisci accusamus aliquam id.,Ayush Bumb,Other,45,+917868765326,chasmumsaran@example.org,"18/167, Tiwari Chowk, Kottayam 652444"
FIR100239,Assault,Medium,Active,2025-02-03,21:47:16,Chembur,Mumbai,Maharashtra,19.055467073597413,72.90157752683095,Adipisci veniam praesentium neque cumque dolorum odit consequuntur iure vitae.,Alka Kade,Other,77,0973846895,leena26@example.org,"H.No. 60, Kade Circle, Amritsar 993781"
FIR100240,Fraud,Low,Resolved,2025-03-11,13:56:49,Goregaon East Ext,Mumbai,Maharashtra,19.161469706657105,72.86362645242639,Reiciendis aliquam iusto quaerat minima assumenda odio dolorem incidunt.,Azaan Tank,Other,76,+910975197128,deepa67@example.org,"912, Shan Circle, Siwan 999698"
FIR100241,Domestic Violence,High,Active,2026-01-22,02:03:21,Ghatkopar East Ext,Mumbai,Maharashtra,19.08547800742504,72.92143972918355,Quis enim expedita delectus iusto ab nulla sapiente mollitia consequuntur iusto repudiandae.,Chasmum Subramanian,Male,50,07818913718,oviya22@example.com,"H.No. 57, Deol, Vasai-Virar-724630"
FIR100242,Domestic Violence,Low,Pending,2025-06-16,04:57:48,Chembur,Mumbai,Maharashtra,19.056811354854077,72.89941032869127,Ipsa quaerat laudantium praesentium quis distinctio hic architecto.,Nidra Mishra,Male,36,4905807787,shrofffitan@example.com,"42/423, Kara Circle, Ujjain 391218"
FIR100243,Burglary,Critical,Active,2026-01-03,22:25:23,Andheri West Ext,Mumbai,Maharashtra,19.126345998918822,72.82772887854757,Quasi eveniet ex placeat accusantium vero suscipit adipisci beatae esse modi ducimus consectetur inventore cupiditate porro.,Elijah Bhasin,Female,45,5654420949,raveladvik@example.org,"29, Gera Ganj, Gangtok-221010"
FIR100244,Domestic Violence,High,Pending,2025-12-15,14:01:37,Vikhroli,Mumbai,Maharashtra,19.10885511904737,72.9231955392323,Distinctio ab iste consectetur eum corrupti omnis.,Ria Sagar,Male,76,00792904904,kabir98@example.com,"001, Raju Circle, Raebareli-100898"
FIR100245,Theft,Medium,Pending,2025-12-06,21:36:40,Goregaon East,Mumbai,Maharashtra,19.164003871042546,72.87519862802714,A temporibus pariatur placeat soluta odit deserunt itaque rem nemo.,Ucchal Jani,Other,69,01281442944,fapte@example.net,"H.No. 081, Gulati Road, Yamunanagar-403845"
FIR100246,Vandalism,High,Resolved,2025-05-26,08:38:37,Borivali East Ext,Mumbai,Maharashtra,19.219922458608355,72.84982083339911,Quisquam consequuntur vero adipisci non sit quae dolore in tempore incidunt harum nam.,Maanas Munshi,Other,78,00192927524,xsami@example.org,"80/74, Devi Marg, Satna-695100"
FIR100247,Kidnapping,Medium,Pending,2025-04-29,19:37:21,Bandra West,Mumbai,Maharashtra,19.050941450431786,72.84136878443172,Ab dignissimos a fugiat tenetur aperiam accusantium aut hic neque a.,Hemani Rastogi,Male,79,3728051292,pavani41@example.net,"62, Pingle Nagar, Ozhukarai-715006"
FIR100248,Fraud,High,Pending,2025-02-18,09:29:51,Vikhroli,Mumbai,Maharashtra,19.110537114853578,72.92515775103523,Enim ratione ex ad eveniet omnis laudantium error neque impedit possimus maiores nesciunt eos blanditiis.,Kamala Varma,Female,66,06637239504,xthakkar@example.com,"41, Arya Zila, Uluberia-113407"
FIR100249,Vandalism,High,Resolved,2025-04-30,12:00:29,Ghatkopar West Ext,Mumbai,Maharashtra,19.09456837760262,72.90227528791728,Et accusantium non rem nostrum voluptatem impedit.,Eiravati Khurana,Female,54,+910276747836,janya12@example.com,"99, Singh Road, Nagaon 583668"
FIR100250,Cybercrime,High,Pending,2026-01-02,06:18:15,Borivali East Ext,Mumbai,Maharashtra,19.236834719098386,72.85813459398977,Commodi saepe provident fuga praesentium possimus consequatur recusandae mollitia aliquid.,Jason Loke,Male,43,6742860476,jbuch@example.org,"26/89, Ravel, Munger-083868"
FIR100251,Assault,Critical,Resolved,2025-09-04,18:07:13,Cuffe Parade Ext Ext Ext,Mumbai,Maharashtra,18.912272728871766,72.83253871467234,Saepe deserunt iste ipsam esse expedita earum animi praesentium quae libero illo vel quia.,Yug Dhaliwal,Female,52,5801856945,aarna38@example.net,"79/15, Prabhakar Nagar, Bokaro 719760"
FIR100252,Theft,Critical,Resolved,2025-02-26,00:52:36,Cuffe Parade,Mumbai,Maharashtra,18.909604413503125,72.82242146096182,Nisi aliquid autem blanditiis eveniet culpa eveniet magni ipsa delectus.,Chandresh Mannan,Female,51,04149673938,dsaran@example.com,"H.No. 126, Sha Path, Nadiad-418095"
FIR100253,Fraud,Low,Pending,2025-03-01,00:10:35,Bandra East Ext,Mumbai,Maharashtra,19.068535973155004,72.8518848860394,Provident mollitia debitis aliquam assumenda ipsum minus accusantium dolores ducimus vitae rem modi reiciendis.,Omya Kothari,Female,52,02580010618,balveer17@example.com,"55, Murthy Circle, Jaunpur-741274"
FIR100254,Vandalism,Low,Pending,2025-11-07,22:10:08,Bandra East Ext Ext,Mumbai,Maharashtra,19.0626646928855,72.85371123025563,Provident nihil blanditiis molestiae architecto suscipit sapiente.,Falak Munshi,Other,57,+917534430091,chandresh95@example.com,"H.No. 188, Mand Street, Narasaraopet-264222"
FIR100255,Assault,Medium,Active,2025-08-03,19:34:14,Borivali East Ext,Mumbai,Maharashtra,19.231161939339387,72.85684512490172,Debitis voluptatibus dolore vero eveniet porro eos quasi nisi.,Nathaniel Tara,Other,33,+919391119269,rnazareth@example.com,"91/70, Peri Road, Mira-Bhayandar-854570"
FIR100256,Burglary,Critical,Resolved,2025-12-09,00:25:54,Sion,Mumbai,Maharashtra,19.036076475821993,72.8656052696627,Aliquid qui explicabo illum eum libero non sequi autem.,Wishi Morar,Male,55,+911244717465,lokepraneel@example.com,"20/92, Peri Street, Mumbai 016356"
